rank,artist_name,playcount,playcount_pct
474,The Bluetones,1,0.0
475,The Electric Soft Parade,1,0.0
476,The Farm,1,0.0
477,The Jeevas,1,0.0
478,The Knack,1,0.0
479,The Lightning Seeds,1,0.0
480,The Lively Ones,1,0.0
481,The Long Blondes,1,0.0
482,The Marketts,1,0.0
483,The Mock Turtles,1,0.0
484,The Notorious B.I.G.,1,0.0
485,The Postal Service,1,0.0
486,The Robins,1,0.0
487,The Soup Dragons,1,0.0
488,The Statler Brothers,1,0.0
489,The Teardrop Explodes,1,0.0
490,The Wonder Stuff,1,0.0
491,Timo Maas,1,0.0
492,Urge Overkill,1,0.0
493,Vinícius de Moraes,1,0.0
