Puesto: 180 | Artista: Stereolab | Scrobbles: 44
Puesto: 181 | Artista: Camilo Sesto | Scrobbles: 43
Puesto: 182 | Artista: Primal Scream | Scrobbles: 43
Puesto: 183 | Artista: No Doubt | Scrobbles: 42
Puesto: 184 | Artista: The Charlatans | Scrobbles: 42
Puesto: 185 | Artista: Barón Rojo | Scrobbles: 41
Puesto: 186 | Artista: Mansun | Scrobbles: 41
Puesto: 187 | Artista: Player | Scrobbles: 41
Puesto: 188 | Artista: Superstate | Scrobbles: 41
Puesto: 189 | Artista: Fleetwood Mac | Scrobbles: 40
Puesto: 190 | Artista: Gilbert O'Sullivan | Scrobbles: 40
Puesto: 191 | Artista: Jimi Hendrix | Scrobbles: 40
Puesto: 192 | Artista: Miles Davis | Scrobbles: 40
Puesto: 193 | Artista: Scorpions | Scrobbles: 40
Puesto: 194 | Artista: The Cramps | Scrobbles: 40
Puesto: 195 | Artista: The Specials | Scrobbles: 40
Puesto: 196 | Artista: Barricada | Scrobbles: 39
Puesto: 197 | Artista: dEUS | Scrobbles: 39
Puesto: 198 | Artista: George Michael | Scrobbles: 39
Puesto: 199 | Artista: Little Richard | Scrobbles: 39
Puesto: 200 | Artista: Tahiti 80 | Scrobbles: 39
Puesto: 201 | Artista: Manu Chao | Scrobbles: 38
Puesto: 202 | Artista: Miles Kane | Scrobbles: 38
Puesto: 203 | Artista: Estopa | Scrobbles: 37
Puesto: 204 | Artista: Jaime Urrutia | Scrobbles: 37
Puesto: 205 | Artista: Richard Ashcroft | Scrobbles: 37
Puesto: 206 | Artista: Alice in Chains | Scrobbles: 36
Puesto: 207 | Artista: Édith Piaf | Scrobbles: 36
Puesto: 208 | Artista: Giorgio Moroder | Scrobbles: 36
Puesto: 209 | Artista: Kaiser Chiefs | Scrobbles: 36
Puesto: 210 | Artista: La Polla Records | Scrobbles: 36
Puesto: 211 | Artista: Marvin Gaye | Scrobbles: 36
Puesto: 212 | Artista: The Pretenders | Scrobbles: 36
Puesto: 213 | Artista: The Vines | Scrobbles: 36
Puesto: 214 | Artista: Joe Satriani | Scrobbles: 35
Puesto: 215 | Artista: Patti Smith | Scrobbles: 35
Puesto: 216 | Artista: The Boo Radleys | Scrobbles: 35
Puesto: 217 | Artista: Van Morrison | Scrobbles: 35
Puesto: 218 | Artista: Hamlet | Scrobbles: 34
Puesto: 219 | Artista: Inspiral Carpets | Scrobbles: 34
Puesto: 220 | Artista: Los Piratas | Scrobbles: 34
Puesto: 221 | Artista: New York Dolls | Scrobbles: 34
Puesto: 222 | Artista: The Killers | Scrobbles: 34
Puesto: 223 | Artista: El Último de la Fila | Scrobbles: 33
Puesto: 224 | Artista: Foo Fighters | Scrobbles: 33
Puesto: 225 | Artista: Joe Cocker | Scrobbles: 33
Puesto: 226 | Artista: Portishead | Scrobbles: 33
Puesto: 227 | Artista: Robbie Williams | Scrobbles: 33
Puesto: 228 | Artista: Tool | Scrobbles: 33
Puesto: 229 | Artista: Foals | Scrobbles: 32
Puesto: 230 | Artista: Loquillo y Trogloditas | Scrobbles: 32
Puesto: 231 | Artista: Pantera | Scrobbles: 32
Puesto: 232 | Artista: Billy Idol | Scrobbles: 31
Puesto: 233 | Artista: Jeff Buckley | Scrobbles: 31
Puesto: 234 | Artista: Siouxsie and the Banshees | Scrobbles: 31
Puesto: 235 | Artista: Dave Rowntree | Scrobbles: 30
Puesto: 236 | Artista: Los Toreros Muertos | Scrobbles: 30
Puesto: 237 | Artista: Molotov | Scrobbles: 30
