rank,artist_name,playcount,artist_url,artist_mbid
85,The Verve,124,https://www.last.fm/music/The+Verve,d4d17620-fd97-4574-92a8-a2cb7e72ce42
86,Sonic Youth,122,https://www.last.fm/music/Sonic+Youth,5cbef01b-cc35-4f52-af7b-d0df0c4f61b9
87,Pavement,121,https://www.last.fm/music/Pavement,
88,Kula Shaker,120,https://www.last.fm/music/Kula+Shaker,9403a688-503e-464e-bb37-84626c57bb42
89,Muse,119,https://www.last.fm/music/Muse,9c9f1380-2516-4fc9-a3e6-f9f61941d090
90,Sex Pistols,119,https://www.last.fm/music/Sex+Pistols,e5db18cb-4b1f-496d-a308-548b611090d3
91,Madness,116,https://www.last.fm/music/Madness,
92,Radio Futura,116,https://www.last.fm/music/Radio+Futura,f7616ee5-bad8-45c9-986f-0cf47d4407df
93,Paul McCartney,115,https://www.last.fm/music/Paul+McCartney,ba550d0e-adac-4864-b88b-407cab5e76af
94,Cream,114,https://www.last.fm/music/Cream,bd0e8d27-f217-45ee-935a-7e8087a1a0cd
95,Rammstein,114,https://www.last.fm/music/Rammstein,b2d122f9-eadb-4930-a196-8f221eeb0c66
96,Daft Punk,113,https://www.last.fm/music/Daft+Punk,056e4f3e-d505-4dad-8ec1-d04f521cbb56
97,The Police,113,https://www.last.fm/music/The+Police,9e0e2b01-41db-4008-bd8b-988977d6019a
98,The Boo Radleys,110,https://www.last.fm/music/The+Boo+Radleys,1b5189d8-28fd-4c97-a04a-37c49b1ccfa6
99,T. Rex,108,https://www.last.fm/music/T.+Rex,c842d29f-a297-48cd-bb71-4f77fd672b16
100,"The Good, the Bad & the Queen",108,"https://www.last.fm/music/The+Good,+the+Bad+&+the+Queen",0f211bfc-8c69-4cb7-9165-acbe4353cb0a
101,Damon Albarn,101,https://www.last.fm/music/Damon+Albarn,7d7a5fdd-0d04-4c36-8bee-906feeae239c
102,Andrés Calamaro,98,https://www.last.fm/music/Andr%C3%A9s+Calamaro,5a092e7c-faa9-45d0-88c6-052205804e6c
103,Los Rodríguez,97,https://www.last.fm/music/Los+Rodr%C3%ADguez,af84ee9f-534a-4f7f-844b-188ba1c47e87
104,Franz Ferdinand,96,https://www.last.fm/music/Franz+Ferdinand,aa7a2827-f74b-473c-bd79-03d065835cf7
105,Placebo,95,https://www.last.fm/music/Placebo,
106,Moby,94,https://www.last.fm/music/Moby,8970d868-0723-483b-a75b-51088913d3d4
